@relation sg2$data

@attribute regioncentroidcol numeric
@attribute regioncentroidrow numeric
@attribute regionpixelcount numeric
@attribute shortlinedensity5 numeric
@attribute shortlinedensity2 numeric
@attribute vedgemean numeric
@attribute vegdesd numeric
@attribute hedgemean numeric
@attribute hedgesd numeric
@attribute intensitymean numeric
@attribute rawredmean numeric
@attribute rawbluemean numeric
@attribute rawgreenmean numeric
@attribute exredmean numeric
@attribute exbluemean numeric
@attribute exgreenmean numeric
@attribute valuemean numeric
@attribute saturationmean numeric
@attribute huemean numeric
@attribute class {brickface,sky,foliage,cement,window,path,grass}

@data
29,52,9,0,0,0388889,00185181,133333,0177779,125778,115556,140222,121556,-306667,433333,-126667,140222,0175849,-234849,sky
2,96,9,0,0,383333,132778,233333,751111,522222,211111,977778,377778,-933333,136667,-433333,977778,0824784,-233069,foliage
190,186,9,0,0111111,272222,224516,605556,281596,500741,456667,602222,443333,-132222,304444,-172222,602222,0266195,-202881,path
81,79,9,0,0,0444445,0074074,0888889,0651853,458148,428889,538889,406667,-877778,242222,-154444,538889,0245206,-191889,cement
102,179,9,0111111,0,183333,153116,244444,188168,491852,448889,597778,428889,-128889,317778,-188889,597778,0282687,-19704,path
199,144,9,0,0,0333333,0516398,0333333,0365148,0444444,0111111,111111,0111111,-1,2,-1,111111,0740741,-20944,window
225,181,9,0,0,116667,0862812,183333,132916,553333,49,687778,482222,-19,403333,-213333,687778,0300006,-205319,path
185,85,9,0,0,927778,814852,283333,91889,491481,45,595556,428889,-124444,312222,-187778,595556,0278726,-195422,cement
122,106,9,0111111,0,161111,0596296,161111,272963,23037,22,298889,172222,-311111,205556,-174444,298889,0423346,-16958,brickface
97,126,9,0,0,105556,0374074,1,0844445,648148,766667,8,377778,355556,455556,-811111,833333,0551587,-111813,brickface
84,86,9,0,0,0833335,0691214,116667,0691214,105778,928889,124111,100333,-386667,55,-163333,124111,0251552,-234379,sky
115,39,9,0,0,0722223,00629625,122222,0474075,127074,116333,142444,122444,-322222,461111,-138889,142444,0183242,-233602,sky
80,116,9,0,0,15,163333,155556,0874074,217037,212222,275556,163333,-144444,175556,-161111,275556,0407364,-163224,brickface
237,137,9,0,0,0388889,0107407,0333333,00444445,0666667,0,2,0,-2,4,-2,2,1,-20944,foliage
188,88,9,0,0,0666667,0471405,0333333,0298142,733333,511111,122222,466667,-666667,146667,-8,122222,061791,-203577,window
167,53,9,0,0,127778,0490654,0944443,0389682,404444,368889,486667,357778,-106667,246667,-14,486667,0264564,-200456,cement
86,20,9,0,0,0944447,102017,194444,106284,651852,564444,816667,574444,-262222,494444,-232222,816667,0309556,-213303,cement
141,17,9,0111111,0222222,372222,44493,5,2319,445926,403333,54,394444,-127778,282222,-154444,54,0268186,-203005,cement
6,90,9,0,0,194444,0596296,133333,182222,181111,187778,221111,134444,2,12,-14,221111,038846,-142588,brickface
23,237,9,0,0,166667,244444,177778,207408,585185,422222,455556,877778,-488889,-388889,877778,877778,0541266,218053,grass
18,123,9,0,0,0722222,0862963,0611111,0418518,107407,0111111,266667,0444444,-288889,477778,-188889,266667,0981482,-216921,foliage
123,152,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
37,78,9,0,0,1,0177777,255556,287407,438148,411111,518889,384444,-811111,242222,-161111,518889,0258916,-188607,cement
94,135,9,0,0,227778,126296,0555555,0385185,218519,0777778,488889,0888889,-422222,811111,-388889,488889,0888007,-211097,window
45,89,9,0,0,0777778,0340741,0777778,0474074,22963,0111111,644444,0333333,-655556,124444,-588889,644444,0986111,-21239,foliage
94,67,9,0,0,255556,336296,155556,118519,237407,228889,307778,175556,-255556,211111,-185556,307778,0429897,-167017,brickface
193,35,9,0,0,0277779,0285183,0722221,0285183,136481,131222,146222,132,-157778,292222,-134444,146222,0103336,-214684,sky
176,187,9,0,0,177778,160093,233333,20221,547778,49,68,473333,-173333,396667,-223333,68,0304126,-200961,path
138,21,9,0,0,0666665,0760117,1,0516396,127296,116222,143111,122556,-332222,474444,-142222,143111,0187853,-233938,sky
212,68,9,0111111,0,288889,208344,183333,0936897,37963,375556,416667,346667,-122222,111111,-988889,416667,0167908,-165964,cement
127,118,9,0222222,0,172222,152963,344444,94963,227407,215556,29,176667,-355556,187778,-152222,29,0390398,-170739,brickface
67,118,9,0,0,111111,0385186,227778,428518,211111,202222,273333,157778,-266667,186667,-16,273333,0416884,-162075,brickface
229,104,9,0,0,05,0547722,283333,204124,197778,163333,261111,168889,-103333,19,-866667,261111,0375532,-215064,window
20,117,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,foliage
161,138,9,0,0,0222222,0172133,0222222,0272166,122222,0444444,322222,0,-233333,6,-366667,322222,1,-194917,window
17,18,9,0,0,122222,129386,127778,125462,12563,114,142,120889,-348889,491111,-142222,142,0197105,-235218,sky
25,208,9,0,0,572222,484156,633333,355278,556296,482222,703333,483333,-222222,441111,-218889,703333,0320595,-209458,path
21,232,9,0,0,238889,268519,227778,237407,135556,113333,123333,17,-666667,-366667,103333,17,0327918,228315,grass
33,132,9,0111111,0,105556,0998147,172222,0998146,196296,0666667,422222,1,-388889,677778,-288889,422222,0676888,-215243,foliage
201,161,9,0,0,255556,0518519,115,966555,418148,357778,514444,382222,-181111,288889,-107778,514444,0302983,-233897,path
49,95,9,0,0,166667,591111,3,328889,518518,222222,944444,388889,-888889,127778,-388889,944444,0794108,-232646,foliage
110,92,9,0111111,0,188889,402963,227778,352963,744444,322222,126667,644444,-126667,156667,-3,126667,0759012,-245218,foliage
225,244,9,0,0,338889,219511,3,152023,122593,103333,933333,171111,-577778,-877778,145556,171111,0480149,19879,grass
142,208,9,0,0,194444,264074,25,132222,185556,154444,148889,253333,-933333,-11,203333,253333,0440895,210221,grass
39,138,9,0,0,111111,0501848,238889,163865,546296,491111,667778,48,-165556,364444,-198889,667778,0280911,-202966,cement
28,188,9,0,0,144444,14963,511111,190074,29963,268889,364444,265556,-922222,194444,-102222,364444,0275863,-208357,path
248,103,9,0,0,0944443,0574134,111111,093492,356296,307778,452222,308889,-145556,287778,-142222,452222,0323915,-210261,cement
62,223,9,0,0,25,572222,166667,244444,666667,488889,466667,104444,-533333,-6,113333,104444,059315,204659,grass
66,160,9,0,0,3,404445,277778,0429629,228519,182222,315556,187778,-138889,261111,-122222,315556,0426014,-213873,cement
180,162,9,0,0,311111,576296,129444,939626,414815,356667,505556,382222,-174444,272222,-977778,505556,0291106,-233537,path
59,96,9,0,0,0611111,0418521,0611112,0240741,111593,103444,128111,103222,-244444,495556,-251111,128111,0197734,-208595,sky
29,85,9,0,0,283333,294203,238889,30508,407407,211111,677778,333333,-588889,811111,-222222,677778,0762963,-236986,foliage
90,116,9,0,0,127778,0854184,133333,113529,187407,117778,295556,148889,-208889,324444,-115556,295556,0596104,-225997,foliage
17,98,9,0111111,0,0722222,0712325,0666667,0730297,151852,0333333,288889,133333,-355556,411111,-0555556,288889,0916667,-24238,foliage
170,113,9,0,0,283333,0623608,122222,068853,283333,243333,348889,257778,-12,196667,-766667,348889,0302071,-223625,window
252,82,9,0,0,105555,041852,0777778,0474074,388889,345556,484444,336667,-13,286667,-156667,484444,0303876,-202804,cement
163,152,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
31,62,9,0,0,183333,0833334,183333,0966668,211852,205556,272222,157778,-188889,181111,-162222,272222,0419469,-165012,brickface
108,144,9,0,0,0388889,0151852,0222222,00740741,0962963,0,288889,0,-288889,577778,-288889,288889,1,-20944,foliage
38,41,9,0111111,0,177778,167407,166667,177778,224815,207778,297778,168889,-511111,218889,-167778,297778,0432047,-177166,brickface
229,104,9,0,0,05,0547722,283333,204124,197778,163333,261111,168889,-103333,19,-866667,261111,0375532,-215064,window
79,47,9,0111111,0,0666669,0355557,1,115556,12637,116,141667,121444,-311111,458889,-147778,141667,0181012,-231579,sky
201,86,9,0,0111111,95,2227,877778,105541,134074,877778,198889,115556,-138889,194444,-555556,198889,0630945,-236358,foliage
180,116,9,0,0,294445,16113,133333,0816497,331852,291111,416667,287778,-122222,254444,-132222,416667,0309461,-206811,cement
252,195,9,0,0,261111,209143,372222,220521,476667,424444,587778,417778,-156667,333333,-176667,587778,0288788,-205167,path
105,110,9,0,0,05,0122222,194444,237407,422222,433333,633333,2,0333333,633333,-666667,633333,0708333,-153976,brickface
161,147,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
229,24,9,0,0,177778,110889,122222,104704,491852,423333,612222,44,-205556,361111,-155556,612222,030862,-21868,cement
240,26,9,0,0,122222,10074,0888888,0207411,136889,131,146556,133111,-176667,29,-113333,146556,0106102,-223072,sky
96,119,9,0,0,0333333,00888889,0555555,0207407,144444,0,422222,0111111,-433333,833333,-4,422222,1,-211372,foliage
97,116,9,0,0,0722222,0196296,0555555,0207407,662963,755556,844444,388889,277778,544444,-822222,855556,0546517,-123395,brickface
207,215,9,0,0,322222,204033,25,161589,238148,181111,226667,306667,-171111,-344444,205556,306667,0409837,247176,grass
29,125,9,0,0,0388889,0062963,0666667,0177778,585185,722222,688889,344444,411111,311111,-722222,733333,0529762,-0944272,brickface
24,58,9,0,0,0888889,0162963,138889,228519,209259,20,273333,154444,-277778,192222,-164444,273333,0434743,-168507,brickface
10,190,9,0,0,266667,697778,25,265555,32963,293333,411111,284444,-108889,244444,-135556,411111,0305705,-202004,path
76,198,9,0,0,177778,120493,15,0691214,145556,121111,117778,197778,-733333,-833333,156667,197778,0411573,205567,grass
212,160,9,0,0,144444,129386,144444,177221,232593,177778,234444,285556,-164444,0555556,158889,285556,0378216,26426,grass
54,133,9,0,0,155556,100741,05,0344444,537037,366667,9,344444,-511111,108889,-577778,9,0630471,-2048,window
159,116,9,0111111,0,0444444,0344265,205556,110387,298148,256667,371111,266667,-124444,218889,-944444,371111,0310286,-217751,window
44,79,9,0,0,0444444,0344265,0777779,0403686,107741,938889,126556,102778,-415556,564444,-148889,126556,0258079,-237797,sky
97,21,9,0,0,0944444,0611615,133333,0869227,126815,115,142889,122556,-354444,482222,-127778,142889,0195127,-237781,sky
129,91,9,0,0111111,272778,752241,252778,37793,442963,384444,526667,417778,-175556,251111,-755556,526667,0348885,-232027,foliage
31,42,9,0111111,0,127778,0685184,0944444,0774073,127037,117,141778,122333,-301111,442222,-141111,141778,0174634,-231442,sky
133,67,9,0,0,138889,13963,211111,122963,271481,251111,358889,204444,-611111,262222,-201111,358889,0429308,-176836,brickface
84,134,9,0,0,0444444,0118518,0722222,0151852,211111,1,466667,0666667,-333333,766667,-433333,466667,0874074,-201314,window
191,47,9,0,0,0444445,0385188,111111,038519,135741,129,146333,131889,-202222,317778,-115556,146333,0118399,-226255,sky
103,125,9,0,0,0944445,0827759,0833333,0691215,177778,0444444,388889,1,-4,633333,-233333,388889,0923809,-223756,foliage
148,192,9,0111111,0,4,218072,494444,386676,581111,517778,72,505556,-19,416667,-226667,72,0299308,-203405,path
45,111,9,0,0,05,0349603,1,078881,161111,122222,237778,123333,-116667,23,-113333,237778,0489897,-210067,window
112,201,9,0,0,283333,129529,311111,178471,212963,166667,203333,268889,-138889,-288889,167778,268889,0381912,246794,grass
239,32,9,0,0,0777779,0207408,15,118889,121444,110222,138111,116,-336667,50,-163333,138111,0201898,-230939,sky
245,140,9,0,0,0166667,0278887,0611111,0742867,0407407,0222222,0777778,0222222,-0555556,111111,-0555556,0777778,0240741,-20944,window
25,18,9,0,0,0666665,00888892,0555553,0385184,114148,102444,132333,107667,-351111,545556,-194444,132333,0225725,-227845,sky
142,100,9,0,0,0666667,0266666,138889,0907407,222222,217778,284444,164444,-133333,186667,-173333,284444,0421994,-16233,brickface
142,111,9,0,0,111111,045542,0555555,0344265,287407,245556,358889,257778,-125556,214444,-888889,358889,0315484,-220267,window
204,194,9,0,0,261111,192546,511111,341673,41037,37,497778,363333,-121111,262222,-141111,497778,0275415,-20452,path
238,25,9,0,0,0388887,0250923,0944447,0827759,116259,103667,133778,111333,-377778,525556,-147778,133778,0224975,-23602,sky
116,203,9,0,0,305556,194841,294444,175647,195185,154444,176667,254444,-122222,-555556,177778,254444,0393868,232038,grass
14,134,9,0,0,0388889,0062963,0388889,0062963,52963,677778,622222,288889,444444,277778,-722222,7,0587302,-0912631,brickface
69,59,9,0,0,127778,0951851,205556,148519,238519,226667,308889,18,-355556,211111,-175556,308889,0415301,-169933,brickface
67,64,9,0,0,211111,211852,238889,344074,224815,22,288889,165556,-144444,192222,-177778,288889,0426923,-162567,brickface
110,189,9,0,0,1,0666667,122222,118634,129259,108889,922222,186667,-611111,-111111,172222,186667,0508139,191086,grass
140,188,9,0,0,2,210818,305555,249815,616667,544444,765556,54,-216667,446667,-23,765556,0295624,-207403,path
208,65,9,0,0,138889,123678,264444,255375,567037,526667,644444,53,-121111,232222,-111111,644444,019713,-197081,cement
42,133,9,0,0,116667,190613,272222,315818,27037,122222,5,188889,-444444,688889,-244444,5,0860606,-220842,window
127,120,9,0,0,05,0477778,0722222,0596296,151852,0111111,411111,0333333,-422222,777778,-355556,411111,0984127,-213309,foliage
70,71,9,0111111,0,211111,180741,283333,207778,227778,218889,296667,167778,-266667,206667,-18,296667,043357,-166796,brickface
217,208,9,0,0,25,216667,266667,244445,160741,126667,144444,211111,-102222,-488889,151111,211111,040213,231093,grass
67,71,9,0,0,166667,0888891,15,0299998,125963,115556,140889,121444,-312222,447778,-135556,140889,0179672,-233976,sky
63,220,9,0,0,305556,15263,366667,608889,818519,655556,644444,115556,-488889,-522222,101111,115556,0486717,209315,grass
68,103,9,0,0,0666667,0577778,111111,0962963,214815,0111111,566667,0666667,-611111,105556,-444444,566667,0987654,-218547,foliage
228,91,9,0,0,0722222,0196296,111111,0385185,262963,0444444,622222,122222,-655556,107778,-422222,622222,0939815,-222574,foliage
233,211,9,0111111,0,266667,608889,166667,173333,154444,124444,152222,186667,-9,-0666667,966667,186667,0335421,255496,grass
29,100,9,0,0,222222,136296,266667,364444,206296,208889,255556,154444,0777778,147778,-155556,255556,0394331,-15197,brickface
169,102,9,0,0,1,0355555,0888889,0296295,582222,534444,696667,515556,-143333,343333,-20,696667,025976,-198558,cement
180,179,9,0,0,227778,250741,455556,727407,354815,313333,441111,31,-124444,258889,-134444,441111,0301166,-20752,path
57,93,9,0,0,0388889,0389682,0222222,0172132,179259,132222,271111,134444,-141111,275556,-134444,271111,0511905,-211046,window
96,123,9,0,0,127778,0151852,183333,207778,216296,147778,342222,158889,-205556,377778,-172222,342222,0559546,-214976,cement
81,122,9,0,0111111,738889,649519,483333,422556,662963,333333,113333,522222,-988889,141111,-422222,113333,0809331,-234902,foliage
102,50,9,0,0,161111,106284,133333,0869227,608519,53,757778,537778,-235556,447778,-212222,757778,0304774,-212948,cement
182,186,9,0111111,0,366667,204396,177778,124127,484444,437778,598889,416667,-14,343333,-203333,598889,0304522,-197306,path
208,34,9,0,0,172222,173098,0444445,0501848,144444,107778,21,115556,-11,196667,-866667,21,0479958,-216238,window
49,148,9,0,0,0777778,0251851,666667,334222,15963,12,168889,19,-118889,277778,911111,194444,0403708,291248,grass
172,183,9,0,0,288889,168215,405556,307258,563333,504444,70,485556,-176667,41,-233333,70,0305472,-199758,path
149,92,9,0,0,122222,0562964,233333,382222,236667,231111,303333,175556,-166667,20,-183333,303333,0420973,-163778,brickface
92,89,9,0,0,2,126491,122222,0958392,589259,51,744444,513333,-237778,465556,-227778,744444,0317871,-210876,cement
169,66,9,0,0,2,208889,0944445,0418519,515926,477778,612222,457778,-114444,288889,-174444,612222,0252103,-196125,cement
96,130,9,0,0,0555555,045542,122222,0655461,240741,0444444,5,177778,-588889,777778,-188889,5,0931217,-236622,foliage
150,158,9,0,0,216667,163333,138889,0418518,844444,7,122222,611111,-433333,113333,-7,122222,0503086,-194345,cement
91,115,9,0111111,0,172222,144074,388889,282963,199259,205556,241111,151111,188889,125556,-144444,241111,0375321,-144096,brickface
108,130,9,0,0,0944445,0596297,1,0666667,662963,844444,722222,422222,544444,177778,-722222,844444,0501014,-0764077,brickface
163,180,9,0,0,177778,118519,916667,639444,303704,274444,363333,273333,-877778,178889,-911111,363333,023849,-221709,path
189,39,9,0,0,105555,0574136,0777776,0583728,124185,113889,140333,118333,-308889,484444,-175556,140333,0188391,-226811,sky
207,58,9,0,0,0777777,0344266,0888888,0583728,11037,976667,128111,105333,-381111,532222,-151111,128111,0237567,-235727,sky
231,123,9,0,0,0666667,00888889,0388889,0151852,581482,711111,688889,344444,388889,322222,-711111,733333,0531746,-0988413,brickface
147,193,9,0,0,661111,360504,705556,540953,517407,465556,63,456667,-155556,337778,-182222,63,0275266,-208017,path
158,186,9,0,0,0888889,0340741,15,181111,120741,933333,107778,161111,-822222,-388889,121111,161111,0428864,231952,grass
14,71,9,0,0,130556,103825,218889,165364,318519,255556,402222,297778,-188889,251111,-622222,402222,0395671,-240182,foliage
106,65,9,0222222,0,222222,165552,227778,0827759,606296,536667,745556,536667,-208889,417778,-208889,745556,0287325,-209104,cement
226,83,9,0,0,0888889,0518519,105555,0507406,906296,745556,116889,804444,-482222,787778,-305556,116889,0362062,-223905,sky
65,70,9,0,0,0666665,0177776,111111,0562963,112519,104,127778,105778,-255556,457778,-202222,127778,0186099,-217166,sky
133,141,9,0,0,0111111,0172133,0111111,0172133,00740741,0,0222222,0,-0222222,0444444,-0222222,0222222,0222222,-20944,window
127,81,9,0,0,243333,442178,221111,263096,425556,348889,517778,41,-23,276667,-466667,517778,0366946,-247648,foliage
161,176,9,0,0,0388889,0151852,116667,0388889,13,101111,117778,171111,-866667,-366667,123333,171111,0407734,234062,grass
66,160,9,0,0,3,404445,277778,0429629,228519,182222,315556,187778,-138889,261111,-122222,315556,0426014,-213873,cement
32,240,9,0,0,127778,15408,227778,170511,121481,977778,933333,173333,-711111,-844444,155556,173333,0470675,204387,grass
170,159,9,0111111,0,227778,142075,161111,118165,205185,203333,223333,188889,-0555556,544444,-488889,223333,015128,-159668,cement
212,239,9,0,0,194444,145169,233333,282056,103704,766667,966667,137778,-811111,-211111,102222,137778,0445969,242638,grass
52,170,9,0,0,0555556,045542,0944444,0389683,254444,201111,253333,308889,-16,-0333333,163333,308889,0349112,260401,grass
112,114,9,0,0,0722222,00629629,0666667,00444444,525926,655556,611111,311111,388889,255556,-644444,666667,0534392,-091061,brickface
86,140,9,0,0,544444,476873,305556,267845,992593,6,151111,866667,-117778,155556,-377778,151111,0627944,-241782,foliage
70,122,9,0,0,366667,40332,411111,378104,198889,178889,251111,166667,-6,156667,-966667,264444,0402492,-154021,foliage
2,44,9,0,0,216667,238889,238889,152963,187407,173333,252222,136667,-422222,194444,-152222,252222,0457681,-175373,brickface
230,41,9,0,0,0888891,068853,188889,124127,121481,110222,138889,115333,-337778,522222,-184444,138889,0206392,-22808,sky
186,162,9,0,0,161111,0596296,123889,668185,440741,374444,546667,401111,-198889,317778,-118889,546667,0301508,-238667,path
81,158,9,0,0,283333,114444,144444,176296,21037,167778,29,173333,-127778,238889,-111111,29,041916,-21427,cement
40,35,9,0,0,0722223,0250923,105555,0646928,694444,617778,853333,612222,-23,476667,-246667,853333,0287488,-20742,cement
235,196,9,0,0,166667,133333,222222,114827,472593,417778,585556,414444,-164444,338889,-174444,585556,0294238,-207462,path
161,89,9,0,0,466667,511642,0166667,0278887,311111,288889,377778,266667,-0666667,2,-133333,377778,00976431,-189048,window
239,160,9,0,0,183333,0922221,594444,45963,451481,378889,583333,392222,-217778,395556,-177778,583333,0352126,-2163,path
58,128,9,0111111,0,294444,175647,244444,168215,164815,101111,258889,134444,-191111,282222,-911111,258889,0613385,-23163,foliage
217,130,9,0,0,233333,253333,144444,0474074,213704,157778,318889,164444,-167778,315556,-147778,318889,0505441,-213492,cement
40,73,9,0111111,0,138889,108519,161111,250741,206296,197778,267778,153333,-255556,184444,-158889,267778,0426973,-167546,brickface
184,91,9,0,0,122222,0385186,0388889,0107408,240741,177778,348889,195556,-188889,324444,-135556,348889,048999,-220242,window
27,134,9,0,0,111111,0981307,161111,106284,87037,366667,158889,655556,-151111,215556,-644444,158889,0772831,-2343,foliage
150,152,9,0,0,0111111,00296296,205556,357407,137037,1,233333,0777778,-111111,288889,-177778,233333,0537037,-200735,window
105,139,9,0,0,0277778,0107407,0833333,0522222,611111,755556,722222,355556,433333,333333,-766667,755556,0532628,-0965946,brickface
242,89,9,0,0,05,0477778,0944445,0551852,181481,0777778,411111,0555556,-311111,688889,-377778,411111,0896296,-204226,window
72,118,9,0,0,0277778,00629629,0555556,0118518,548148,655556,666667,322222,322222,355556,-677778,711111,0545855,-105335,brickface
71,113,9,0,0,0722222,0240741,0722222,0151852,548148,711111,633333,3,488889,255556,-744444,711111,0580026,-0851202,brickface
25,116,9,0,0,0944445,0151852,477778,30963,161852,17,20,115556,244444,114444,-138889,212222,0447187,-116284,brickface
60,52,9,0,0,0722223,0596301,0777777,0740744,11163,101,129222,104667,-318889,527778,-208889,129222,0218379,-222968,sky
33,149,9,0,0,0555556,0251852,0722222,0151852,544444,411111,866667,355556,-4,966667,-566667,866667,0578339,-19857,brickface
100,194,9,0,0,172222,259415,322222,150062,615556,547778,762222,536667,-203333,44,-236667,762222,0295908,-204272,path
169,136,9,0,0,0277778,0062963,0833333,0211111,207407,0666667,488889,0666667,-422222,844444,-422222,488889,0877513,-20944,window
173,67,9,0,0,111111,124127,0222222,0344265,0740741,0777778,111111,0333333,0111111,111111,-122222,111111,0231481,-151268,window
48,79,9,0,0,177778,185185,116667,132222,540741,177778,105556,388889,-108889,154444,-455556,105556,0842452,-23398,foliage
99,107,9,0111111,0,155556,202963,333333,226666,186296,194444,23,134444,244444,131111,-155556,231111,0413785,-137037,brickface
203,133,9,0,0,0111111,00296296,0111111,00296296,0592593,0,177778,0,-177778,355556,-177778,177778,1,-20944,window
206,133,9,0,0,00555556,0136083,00555556,0136083,037037,0,111111,0,-111111,222222,-111111,111111,1,-20944,window
250,87,9,0,0,0722222,0240741,0611111,0374074,111481,666667,195556,722222,-134444,252222,-117778,195556,0659329,-213862,window
39,17,9,0,0,111111,108866,0888891,0807374,711852,633333,873333,628889,-235556,484444,-248889,873333,0284874,-207516,cement
44,187,9,0,0,144444,0344265,0833333,10274,152222,132222,127778,196667,-6,-733333,133333,196667,0355526,203848,grass
71,197,9,0,0,272222,185492,455556,214649,554444,491111,695556,476667,-19,423333,-233333,695556,0314739,-202432,path
118,180,9,0,0,194444,148199,311111,108866,485556,441111,59,425556,-133333,313333,-18,59,0278822,-199604,path
192,162,9,0,0,238889,21963,149444,219574,404444,344444,494444,374444,-18,27,-9,503333,0307814,-257363,path
118,38,9,0,0,0777777,058373,0888888,106806,124852,113333,141667,119556,-345556,504444,-158889,141667,0199972,-232292,sky
76,138,9,0,0222222,322222,387967,55,242899,165185,988889,247778,148889,-198889,247778,-488889,247778,060922,-243954,foliage
143,24,9,0,0,127778,0907406,0888888,114075,12763,117667,141667,123556,-298889,421111,-122222,141667,0169397,-234925,sky
138,116,9,0,0,0611111,0151852,0444445,0207407,648148,755556,822222,366667,322222,522222,-844444,833333,0559171,-119107,brickface
72,111,9,0,0,05,03,0944444,13963,12963,0,355556,0333333,-388889,677778,-288889,355556,1,-213949,foliage
95,141,9,0,0,0722222,0240741,0722222,0151852,155556,0111111,366667,0888889,-433333,633333,-2,366667,0977778,-228599,foliage
58,25,9,0,0,077778,0501848,0388889,0327731,112222,977778,131333,107556,-433333,573333,-14,131333,025541,-239689,sky
138,49,9,0,0,105556,092896,177778,106805,124037,113111,140444,118556,-327778,492222,-164444,140444,0194622,-230341,sky
57,177,9,0,0,0944445,0551852,144444,171852,195926,157778,184444,245556,-114444,-344444,148889,245556,035899,241326,grass
189,142,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
24,93,9,0,0,161111,0772203,205556,173098,628519,547778,792222,545556,-242222,491111,-248889,792222,0315538,-208372,cement
160,41,9,0,0,0833333,0809664,0222222,0172133,0703704,0555556,122222,0333333,-0444444,155556,-111111,122222,0537037,-184512,window
63,179,9,0,0,0666667,0222222,155556,0562963,118148,977778,944444,162222,-611111,-711111,132222,162222,0419762,204457,grass
199,220,9,0,0,116667,0833333,0888889,0474074,662963,533333,5,955556,-388889,-488889,877778,955556,05039,203087,grass
90,122,9,0111111,0,166667,139841,116667,0691215,161852,102222,253333,13,-178889,274444,-955556,253333,0584744,-224727,foliage
12,154,9,0,0,322222,305185,233333,32,197037,148889,285556,156667,-144444,265556,-121111,285556,0479715,-214253,cement
170,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
97,176,9,0,0,0777778,0655461,238889,130668,221852,19,197778,277778,-955556,-722222,167778,277778,0316041,217984,grass
204,12,9,0,0,0777777,0518519,177778,0785183,127444,115556,143111,123667,-356667,47,-113333,143111,019252,-240292,sky
42,200,9,0,0,0555555,042963,0444444,0251852,77037,577778,588889,114444,-577778,-544444,112222,114444,051532,210726,grass
203,83,9,0,0,0388889,0136083,0222222,0403687,170741,128889,248889,134444,-125556,234444,-108889,248889,0481852,-214376,window
88,91,9,0,0,105556,0827758,0722221,0772203,104889,925556,123444,986667,-37,556667,-186667,123444,0250204,-230049,sky
214,161,9,0,0,372222,0729634,115,189222,404444,353333,496667,363333,-153333,276667,-123333,496667,0298056,-219894,path
112,77,9,0,0,0944447,0574135,116667,0809667,10763,938889,125222,103778,-412222,527778,-115556,125222,0250143,-242468,sky
109,76,9,0,0,15,0691214,0388889,0327731,517778,476667,615556,461111,-123333,293333,-17,615556,0250705,-198992,cement
26,211,9,0,0,166667,146667,166667,182222,163704,137778,146667,206667,-777778,-511111,128889,206667,0333856,223903,grass
18,87,9,0,0,155556,196261,188889,174696,292593,122222,566667,188889,-511111,822222,-311111,566667,0862771,-222949,foliage
44,123,9,0,0,105556,0996296,1,0844444,148148,0222222,366667,0555556,-377778,655556,-277778,366667,0961905,-216176,foliage
232,175,9,0,0,116667,062361,283333,216795,153704,124444,135556,201111,-877778,-544444,142222,201111,0387412,22422,grass
37,104,9,0,0,783333,971311,221111,216186,186296,148889,234444,175556,-112222,144444,-322222,234444,0607613,-242507,foliage
99,160,9,0,0,2,0843274,305556,236095,28037,211111,296667,333333,-207778,488889,158889,333333,0367514,282711,grass
20,70,9,0,0,115,8768,794444,69167,185926,136667,238889,182222,-147778,158889,-111111,238889,0476884,-258911,foliage
179,162,9,0,0,194444,130741,140556,592962,402963,346667,492222,37,-168889,267778,-988889,492222,0289652,-23412,path
193,154,9,0,0,172222,255185,2,186667,281481,215556,395556,233333,-197778,342222,-144444,395556,0453533,-219107,cement
6,118,9,0,0,00555556,0136083,00555556,0136083,0037037,0,0111111,0,-0111111,0222222,-0111111,0111111,0111111,-20944,foliage
92,56,9,0,0,0444443,00296294,0833333,0566668,126,115889,140667,121444,-303333,44,-136667,140667,0176061,-232678,sky
252,201,9,0,0,461111,549512,555556,579527,402963,357778,49,361111,-135556,261111,-125556,49,0275368,-217583,path
79,57,9,0,0,172222,161852,194444,197407,268148,24,362222,202222,-844444,282222,-197778,362222,0440509,-183767,brickface
229,124,9,0,0,0888889,0074074,0888889,0340741,588889,711111,711111,344444,366667,366667,-733333,755556,0545855,-103766,brickface
145,101,9,0111111,0,0555555,0118519,161111,0596295,224444,215556,292222,165556,-266667,203333,-176667,292222,0432819,-167432,brickface
93,190,9,0,0,55,18227,261111,323465,535926,473333,668889,465556,-187778,398889,-211111,668889,0303602,-205255,path
152,199,9,0,0,111111,0518519,0833334,0255555,17963,152222,154444,232222,-822222,-755556,157778,232222,0348063,212951,grass
223,161,9,0,0,138889,304074,9,310222,42037,36,522222,378889,-181111,305556,-124444,522222,0308416,-228229,path
207,97,9,0,0,0888889,0651852,0777778,0474074,262963,0555556,588889,144444,-622222,977778,-355556,588889,0915344,-226902,foliage
